#name	infoboxid	title	issn	abbreviation	language	country	former_name	bluebook	discipline	peer-reviewed	publisher	history	openaccess	license	impact	impact-year	CODEN	JSTOR	LCCN	OCLC	ISSNlabel	eISSN	category
The Journal of Law and Economics	1	NULL	NULL	J. Law Econ.	NULL	United States	NULL	NULL	Law and economics	NULL	University of Chicago Press	1958-present	NULL	NULL	NULL	NULL	JLLEA7	00222186	59001643	473558229	NULL	1537-5285	NULL
Acta Crystallographica	1	Acta Crystallographica Section A: Foundations and Advances	NULL	Acta Crystallogr. Sect. A	NULL		NULL	NULL	Crystallography	NULL	IUCr/Wiley	1968-present	Hybrid		2.333	2015	ACSAD7			NULL	NULL		NULL
Acta Crystallographica	2	Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials	NULL	Acta Crystallogr. Sect. B	NULL		NULL	NULL	Crystallography	NULL	IUCr/Wiley	1968-present	Hybrid		2.892	2015	ACSBDA			NULL	NULL		NULL
Acta Crystallographica	3	Acta Crystallographica Section C: Structural Chemistry	NULL	Acta Crystallogr. Sect. C	NULL		NULL	NULL	Crystallography	NULL	IUCr/Wiley	1983-present	Hybrid		0.479	2015	ACSCGG			NULL	NULL		NULL
Acta Crystallographica	4	Acta Crystallographica Section D: Structural Biology	NULL	Acta Crystallogr. Sect. D	NULL		NULL	NULL		NULL	IUCr/Wiley	1993–present	Hybrid		2.512	2015	ACSDAD			NULL	NULL	NULL	NULL
Acta Crystallographica	5	Acta Crystallographica Section E: Crystallographic Communications	NULL	Acta Crystallogr. Sect. E	NULL		NULL	NULL	Crystallography		IUCr/Wiley	2001-present	Yes		0.347	2011	ACSECI			NULL	NULL	2056-9890	NULL
Acta Crystallographica	6	Acta Crystallographica Section F: Structural Biology Communications	NULL	Acta Crystallogr. Sect. F	NULL		NULL	NULL	Crystallography	NULL	IUCr/Wiley	2005–present	Hybrid		0.647	2015	ACSFEN			NULL	NULL	2053-230X	NULL
Ophthalmology (journal)	1	Ophthalmology	NULL	Ophthalmology	NULL	United States	NULL	NULL	Ophthalmology	NULL	American Academy of Ophthalmology/Elsevier	1978–present			6.1	2014	OPHTDG		78005685	03661682	NULL	1549-4713	NULL
Elementary School Journal	1	NULL	NULL	Elem. Sch. J.	NULL	US	NULL	NULL	Education	NULL	University of Chicago Press	1900-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
IEEE Transactions on Control Systems and Technology	1	NULL	NULL	IEEE Trans. Control Syst. Technol.	NULL		NULL	NULL	Control systems technology	NULL	IEEE Control Systems Society	1993–present			2.521	2013	IETTE2		94648285	807599104	NULL	1558-0865	NULL
Henoch (journal)	1	Henoch	NULL	Henoch	English, French, German, Hebrew, Italian, Spanish		NULL	NULL	Second Temple Judaism, Christianity and Judaism in Late Antiquity	NULL	Morcelliana	1979-present		NULL					82647159	6547176	NULL		NULL
History of Religions (journal)	1	History of Religions	NULL	Hist. Relig.	NULL	United States	NULL	NULL	History of Religions	NULL	University of Chicago Press	1961-present	NULL	NULL	NULL	NULL	NULL	00182710	64001081	299661763	NULL	NULL	NULL
The New Zealand Medical Journal	1	NULL	NULL	N. Z. Med. J.	NULL	New Zealand	NULL	NULL	Medicine	NULL	New Zealand Medical Association	1887-present	Delayed, after 6 months	NULL	NULL	NULL	NZMJAX	NULL	NULL	01713584	NULL	1175-8716	NULL
History (journal)	1	History	NULL		NULL		NULL	NULL	NULL	NULL	Wiley-Blackwell	1916-present							14014748	466923053	NULL	1468-229X	NULL
International Journal of Mass Spectrometry	1	NULL	NULL	IJMS or Int. J. Mass Spectrom.	NULL		NULL	NULL	Chemistry	NULL	Elsevier	1968		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Journal of Research Practice	1	Journal of Research Practice	NULL	J. Res. Pract.	NULL	Canada	NULL	NULL	Research philosophy	NULL	Athabasca University Press	2005-present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	449524705	NULL	1712-851X	NULL
Astronomische Nachrichten	1	Astronomische Nachrichten	NULL	Astron. Nachr.	English (solely since 1990)	Germany	NULL	NULL	Astronomy and Astrophysics	NULL	Wiley-VCH; Astrophysical Institute Potsdam	1821–present		NULL	0.916	2016	ASNAAN		13011169	76516376	NULL	1521-3994	NULL
The Historian (journal)	1	The Historian	NULL		NULL	United States	NULL	NULL	History	NULL	Wiley-Blackwell on behalf of Phi Alpha Theta History Honor Society	1938–present		NULL						1713899	NULL	1540-6563	NULL
Winterthur Portfolio	1	NULL	NULL		NULL	United States	NULL	NULL	Arts	NULL	University of Chicago Press	1964-present	NULL	NULL	NULL	NULL	NULL	00840416	NULL	NULL	NULL	NULL	NULL
Phonology (journal)	1	Phonology	NULL		NULL	United Kingdom	NULL	NULL	Phonology	NULL	Cambridge University Press	1984–present		NULL	1.08	2012	NULL				NULL	1469-8188	NULL
The Journal of Neuroscience	1	The Journal of Neuroscience	NULL	J. Neurosci.	NULL	United States	NULL	NULL	Neuroscience	NULL	Society for Neuroscience	1981–present			5.924	2015	JNRSDS		81640907	476317794	NULL	1529-2401	NULL
Journal of American Folklore	1	Journal of American Folklore	NULL	J. Am. Folklore	NULL	United States	NULL	NULL	Folklore	NULL	University of Illinois Press	1888-present						00218715	2002-227249	67084841	NULL	1535-1882	NULL
St. Austin Review	1	St Austin Review	NULL		English	United States		NULL	Culture		St Augustine's Press	2001											NULL
Contributions to Indian Sociology	1	NULL	NULL	CIS	NULL		NULL	NULL	Sociology	NULL	Sage Publications	1957									NULL	0973-0648	NULL
Philosophical Transactions of the Royal Society B	1	Philosophical Transactions of the Royal Society B	NULL	Phil. Trans. Royal Soc. B	NULL	United Kingdom	NULL	NULL	Biology	NULL	Royal Society	1887–present	Hybrid		7.055	2014	PTRBAE		86645785	01403239	NULL	1471-2970	NULL
Review of Scientific Instruments	1		NULL	Rev. Sci. Instrum.	NULL	United States	NULL	NULL	Physics, chemistry	NULL	American Institute of Physics	1930-present			1.515	2016	RSINAK		sn99009452	243417110	NULL	1089-7623	NULL
The Journal of Business	1	The Journal of Business	NULL	J. Bus.	NULL	United States	NULL	NULL	Business	NULL	University of Chicago Press	1928–2006	NULL	NULL	NULL	NULL	NULL	00219398	NULL	1605755	NULL	NULL	NULL
Journal for the Study of the Old Testament	1	Journal for the Study of the Old Testament	NULL	J. Stud. Old Testam.	NULL		NULL	NULL	Biblical studies	NULL	Sage Publications	1976-present	NULL	NULL	NULL	NULL	NULL	NULL	80641375	216746574	NULL	NULL	NULL
Brazilian Journal of Medical and Biological Research	1	Brazilian Journal of Medical and Biological Research	NULL	Braz. J. Med. Biol. Res.	NULL	Brazil	NULL	NULL	Biology, medicine	NULL	Associação Brasileira de Divulgação Científica	1968–present	Yes	Creative Commons Attribution License	NULL	NULL	NULL	NULL	75615076	476951883	NULL	1414-431X	NULL
Syntax (journal)	1	Syntax	NULL		NULL		NULL	NULL	Syntax	NULL	Wiley-Blackwell	1998–present		NULL	1.0	2013	NULL				NULL	1467-9612	NULL
Mathematics of Operations Research	1	Mathematics of Operations Research	NULL	Math. Oper. Res.	English	NULL	NULL	NULL	Mathematics	NULL	Institute for Operations Research and the Management Sciences (INFORMS)	Feb. 1976-present	NULL	NULL	0.924	2013	MOREDQ	NULL	76647217	692909490	NULL	1526-5471	NULL
Journal of Consulting and Clinical Psychology	1	Journal of Consulting and Clinical Psychology	NULL	J. Consult. Clin. Psychol.	NULL	United States	NULL	NULL	Psychology	NULL	American Psychological Association	1937-present	NULL	NULL	4.713	2015	JCLPBC		2002210225	1590721	NULL	1939-2117	NULL
19th-Century Music	1	19th-Century Music	NULL	19th-Century Music	English	United States	NULL	NULL	Music		University of California Press	1977–present						01482076	77644140	8973601	NULL	1533-8606	NULL
British Journal of General Practice	1	British Journal of General Practice	NULL	Br. J. Gen. Pract.	NULL	United Kingdom	NULL	NULL	Family medicine	NULL	Royal College of General Practitioners	1953-present	Hybrid		2.741	2015				55135715	NULL	1478-5242	NULL
The Russian Review	1	NULL	NULL		NULL		NULL	NULL	Russian studies	NULL	Wiley-Blackwell	1941 - present		NULL	NULL	NULL	NULL	00360341	43016148	473067959	NULL	1467-9434	NULL
Sociological Forum	1	Sociological Forum	NULL	Sociol. Forum	NULL		NULL	NULL	Sociology	NULL	Wiley-Blackwell on behalf of the Eastern Sociological Society	1986-present			0.908	2011					NULL	1573-7861	NULL
China Perspectives	1	China Perspectives/	NULL		English, French	Hong Kong		NULL			French Centre for Research on Contemporary China	1992 to present						20703449				1996-4617	NULL
Holocaust and Genocide Studies	1	NULL	NULL		NULL	United Kingdom	NULL	NULL	Studies of the Holocaust and genocide	NULL	Oxford University Press	1987-present		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Midwest Studies in Philosophy	1	Midwest Studies In Philosophy	NULL		NULL	UK, U.S.	NULL	NULL	Philosophy	NULL	Blackwell Publishing	1976–present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1475-4975	NULL
Journal of British Studies	1	NULL	NULL	J. Br. Stud.	NULL	United States	NULL	NULL	History of the British Isles	NULL	Cambridge University Press	1961-present	NULL	NULL	0.521	2009	NULL	00219371	67001623	1783237	NULL	NULL	NULL
Journal of Chemometrics	1	NULL	NULL	J. Chemometrics	NULL		NULL	NULL	Chemistry	NULL	John Wiley & Sons	1987-present	NULL	NULL	1.50	2014	JOCHEU	NULL	87655700	637417052	NULL	1099-128X	NULL
Canadian Journal of Political Science	1	NULL	NULL	NULL	English, French	Canada	NULL	NULL	Political science	NULL	Cambridge University Press	1968-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1744-9324	NULL
International Journal of Physical Distribution & Logistics Management	1	International Journal of Physical Distribution & Logistics Management	NULL	Int. J. Phys. Distrib. Logist. Manag.	NULL	United Kingdom	NULL	NULL	Supply chain management and logistics		Emerald Group Publishing Ltd.	1970-present			1.826	2012			90-660242	21987179	NULL	1758-664X	NULL
IEEE Transactions on Computers	1	IEEE Transactions on Computers	NULL	IEEE Trans. Comput.	NULL		NULL	NULL	Computer design	NULL	IEEE Computer Society	1952–present	No	NULL	1.473	2013	ITCOB4	NULL	75642478	1799331	NULL	1557-9956	NULL
Evolution & Development	1	Evolution & Development	NULL	Evol. Dev.	NULL		NULL	NULL	Biology	NULL	Wiley-Blackwell	1999-present			3.179	2009				41390326	NULL	1525-142X	NULL
Anales de la Real Sociedad Española de Química	1	Anales de la Real Sociedad Española de Química	NULL	An. R. Soc. Esp. Quím.	Spanish	Spain	NULL	NULL	Chemistry	NULL	Real Sociedad Española de Química	1999–present	Yes	NULL	NULL	NULL		NULL	2007202019	47071723	NULL	NULL	NULL
Molecular Biology and Evolution	1	Molecular Biology and Evolution	NULL	Mol. Biol. Evol.	NULL		NULL	NULL	Evolutionary biology	NULL	Oxford University Press on behalf of the Society for Molecular Biology and Evolution	1983–present	Hybrid		13.649	2015	MBEVEO		90648368	439813139	NULL	1537-1719	NULL
Journal of Functional Programming	1	Journal of Functional Programming	NULL	NULL	NULL	United Kingdom	NULL	NULL	Computer science	NULL	Cambridge University Press	1991–present	No	NULL	NULL	NULL					NULL	1469-7653	NULL
Journal of Clinical Immunology	1	Journal of Clinical Immunology	NULL	J. Clin. Immunol.			NULL	NULL	Immunology		Springer Science+Business Media	1981-present			3.382	2012				6742940	NULL	1573-2592	NULL
General Anthropology	1	NULL	NULL		NULL	United States of America	NULL	NULL	Anthropology	NULL	University of California Press	1994–present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BioTechniques	1	BioTechniques	NULL		English	United States	NULL	NULL	Life science		Informa BioSciences	1983 to present			2.030	2016					NULL	1940-9818	NULL
Dumbarton Oaks Papers	1	Dumbarton Oaks Papers	NULL	DOP	English	USA	NULL	NULL	Byzantine art and medieval art	NULL	Dumbarton Oaks	1941-		NULL				00707546	2005236610	58423962	NULL		NULL
Journal of Latin American Studies	1	Journal of Latin American Studies	NULL	J. Lat. Am. Stud.	NULL		NULL	NULL	Latin American studies	NULL	Cambridge University Press	1969-present		NULL	NULL	NULL	NULL		79008163	01800137	NULL	1469-767X	NULL
IEEE Transactions on Semiconductor Manufacturing	1	NULL	NULL	IEEE Trans. Semicond. Manuf.	NULL		NULL	NULL	Semiconductor device fabrication	NULL	IEEE Computer Society	1988–present			0.977	2013			88659341	16152423	NULL	1558-2345	NULL
Osiris (journal)	1	Osiris	NULL		NULL	United States	NULL	NULL	History of science	NULL	University of Chicago Press for the History of Science Society	1936-1968, 1985-present	NULL	NULL	NULL	NULL	NULL	03697827	NULL	NULL	NULL	1933-8287	NULL
Energy and Environmental Science	1	NULL	NULL		NULL	United Kingdom	NULL	NULL	Environmental science	NULL	Royal Society of Chemistry	2008-present	NULL	NULL	29.518	2016	EESNBY	NULL	2009240440	256525221	NULL	1754-5706	NULL
Cerebral Cortex (journal)	1	Cerebral Cortex	NULL	Cereb. cortex	NULL	United States	NULL	NULL	Neuroscience, Neuropsychology, Neurology	NULL	Oxford University Press	1991-		NULL	8.285 (2015)			NULL	91658541	20665497	NULL	1460-2199	NULL
Radical History Review	1	Radical History Review	NULL		English	United States	NULL	NULL	History		Duke University Press	1974-present						NULL		985576992	NULL	1534-1453	NULL
American Catholic Philosophical Quarterly	1	American Catholic Philosophical Quarterly	NULL	Am. Cathol. Philos. Q.	NULL	United States	NULL	NULL	Philosophy	NULL	Philosophy Documentation Center for the American Catholic Philosophical Association	1990–present; 1927–1989 as The New Scholasticism	NULL	NULL	NULL	NULL			90-641105	21936453	NULL	2153-8441	NULL
Annual Review of Political Science	1	Annual Review of Political Science	NULL	Annu. Rev. Political Sci.	NULL	United States	NULL	NULL	Political science	NULL	Annual Reviews	1998–present	NULL	NULL	3.457	2015	NULL	NULL	98643699	42836185	NULL	1545-1577	NULL
Current Pharmaceutical Design	1	Current Pharmaceutical Design	NULL	Curr. Pharm. Des.	NULL		NULL	NULL	Pharmacology	NULL	Bentham Science Publishers	1995-present		NULL	3.052	2015	CPDEFP			33146703	NULL	1873-4286	NULL
Schizophrenia Bulletin	1	Schizophrenia Bulletin	NULL	Schizophr. Bull.	NULL		NULL	NULL	Schizophrenia	NULL	Oxford University Press on behalf of the Maryland Psychiatric Research Center and Schizophrenia International Research Society	1969–present			8.800	2011	SCZBB3			01345919	NULL	1745-1701	NULL
Cambrian Medieval Celtic Studies	1	Cambrian Medieval Celtic Studies	NULL		NULL	Wales	NULL	NULL	Celtic studies	NULL	University of Aberystwyth	1981—present								29451318	NULL		NULL
Asian Culture (journal)	1	Asian Culture	NULL		English, Chinese	Singapore	NULL	NULL	Asian studies; Interdisciplinary		Singapore Society of Asian Studies	1983–Present								607497422	NULL		NULL
Aviation, Space, and Environmental Medicine	1	Aviation, Space, and Environmental Medicine	NULL	Aviat. Space Environ. Med.	English	United States	NULL	NULL	peer-reviewed medical journal specializing in the fields of aviation, space, and environmental medicine.	NULL	Aerospace Medical Association	Founded 1930 as The Journal of Aviation Medicine, changed in 1959 to Aerospace Medicine, and adopted present title in 1975.	NULL	NULL	NULL	NULL	ASEMCG	NULL	75641492	165744230	NULL	NULL	NULL
Early Childhood Research Quarterly	1	Early Childhood Research Quarterly	NULL	Early Child. Res. Q.	English	United States	NULL	NULL	Early childhood education and development	NULL	Elsevier	March, 1986 - present			1.730	2015				12603670	NULL		NULL
Cell and Tissue Research	1	Cell and Tissue Research	NULL	Cell Tissue Res.	English	United States	NULL	NULL	Cell biology	NULL	Springer	Founded 1924		NULL	3.677Cell and Tissue Research - incl. option to publish open access	2012					NULL	1432-0878	NULL
Journal of Nutrition	1	Journal of Nutrition	NULL	J. Nutr.	NULL	United States	NULL	NULL	Nutrition	NULL	American Society for Nutrition		Delayed, after 12 months		4.145	2016	JONUAI		33014482	637445723	NULL	1541-6100	NULL
North Korean Review	1	North Korean Review	NULL		NULL	United States	NULL	NULL	North Korean studies	NULL	The  Institute for North Korean Studies and McFarland	2005–present								55895634	NULL	1941-2886	NULL
The American Statistician	1	NULL	NULL	Am. Stat.	NULL	United States	NULL	NULL	Statistics	NULL	Taylor & Francis on behalf of the American Statistical Association	1947-present	NULL	NULL	0.915	2014	NULL	00031305	59028624	1480867	NULL	1537-2731	NULL
Modern Theology (journal)	1	Modern Theology	NULL	Mod. Theol.	NULL		NULL	NULL	Theology	NULL	Wiley-Blackwell	1984-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	11538889	NULL	1468-0025	NULL
Journal of Environmental Economics and Management	1	Journal of Environmental Economics and Management	NULL	J. Environ. Econ. Manag.	NULL		NULL	NULL	Economics	NULL	Elsevier	1974–present			2.522	2013	JEEMDI		74647870	01796173	NULL		NULL
Columbia Business Law Review	1	Columbia Business Law Review	NULL	Columbia Bus. Law Rev.	NULL	NULL	NULL	NULL	Business law	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Regional Studies Association	1	Territory, Politics, Governance	NULL		NULL	United States	NULL	NULL	Political Science, Political Geography, Political Economy	NULL	Routledge	2013-present	NULL	NULL			NULL	NULL		739734193	NULL	2162-268X	NULL
Regional Studies Association	2	Regional Studies, Regional Science	NULL		NULL		NULL	NULL	Regional Science	NULL	Routledge	2013-present	Yes	NULL			NULL	NULL			NULL	2168-1376	NULL
Nature Structural & Molecular Biology	1	Nature Structural & Molecular Biology	NULL	Nat. Struct. Mol. Biol.	NULL		NULL	NULL	Structural biology, molecular biology	NULL	Nature Publishing Group	Nature Structural Biology (1994–2003); Nature Structural & Molecular Biology (2004–present)			12.595	2016	NSMBCU		2003215440	52847740	NULL	1545-9985	NULL
Archaeologia Cambrensis	1	Archaeologia Cambrensis	NULL	Archaeol. Cambrensis	NULL	Wales	NULL	NULL	Archaeology	NULL	Cambrian Archaeological Association	1846–present									NULL		NULL
European Journal of International Relations	1	European Journal of International Relations	NULL	Eur. J. Int. Rel.	NULL		NULL	NULL	International relations	NULL	Sage Publications on behalf of the Standing Group of International Relations of the European Consortium for Political Research	1995-present	NULL	NULL	1.972	2014	NULL	NULL		474767004	NULL	1460-3713	NULL
Latin American Perspectives	1	Latin American Perspectives	NULL		NULL		NULL	NULL	Latin American studies	NULL	SAGE Publications	1974-present		NULL	0.404	2014	NULL		74645710	15141526	NULL	1552-678X	NULL
New Zealand Journal of Asian Studies	1	New Zealand Journal of Asian Studies	NULL		NULL	New Zealand	NULL	NULL	Asian studies	NULL	New Zealand Asian Studies Society	1999-present								62516390	NULL		NULL
The Annals of Thoracic Surgery	1	The Annals of Thoracic Surgery	NULL	Ann. Thorac. Surg.	NULL		NULL	NULL	Pulmonary disease, surgery	NULL	Elsevier	1965-present	NULL	NULL	3.849	2014				1481414	NULL	1552-6259	NULL
Pittsburgh Journal of Technology Law & Policy	1	Pittsburgh Journal of Technology Law & Policy	NULL	Pittsburgh J. Technol. Law Policy	NULL	United States	NULL	NULL	Technology law	NULL	University Library System, University of Pittsburgh	2000-present	Yes	NULL			NULL	NULL	NULL	50605066	NULL	NULL	NULL
Review of Radical Political Economics	1	Review of Radical Political Economics	NULL	Rev. Radic. Political Econ.	NULL		NULL	NULL	Economics	NULL	Sage Publications on behalf of the Union for Radical Political Economics	1969-present			0.377	2011	NULL	NULL	78008755	474576131	NULL	1552-8502	NULL
Harvard Papers in Botany	1	Harvard Papers in Botany	NULL	Harv. Pap. Bot.	NULL	United States	NULL	NULL	Botany	NULL	Harvard University	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Biological Psychiatry (journal)	1	Biological Psychiatry	NULL	Biol. Psychiatry	NULL		NULL	NULL	Biological psychiatry	NULL	Elsevier on behalf of the Society of Biological Psychiatry	1959–present		NULL	11.212	2015	BIPCBF	NULL	78009779	424038458	NULL	1873-2402	NULL
Review of Metaphysics	1	The Review of Metaphysics	NULL	Rev. Metaphys.	NULL	United States	NULL	NULL	Philosophy	NULL	Philosophy of Education Society, Inc.	1947–present							50-38404	1763830	NULL	2154-1302	NULL
Drug Testing and Analysis	1	Drug Testing and Analysis	NULL	NULL	NULL		NULL	NULL	Pharmacology	NULL	John Wiley & Sons	2009-present	NULL	NULL	2.506	2014	NULL	NULL	NULL	231680670	NULL	1942-7611	NULL
Weather, Climate, and Society	1	Weather, Climate, and Society	NULL	Weather Clim. Soc.	English	United States of America	NULL	NULL	NULL	NULL	American Meteorological Society	2009 - present	NULL	NULL	1.931	2015	NULL	NULL	NULL	NULL		1948-8335	NULL
Annual Review of Analytical Chemistry	1	Annual Review of Analytical Chemistry	NULL	Annu. Rev. Anal. Chem.	NULL		NULL	NULL	Analytical chemistry	NULL	Annual Reviews	2008-present			8.833	2014	ARACFU		2007215104	85479636	NULL	1936-1335	NULL
Journal of Manipulative and Physiological Therapeutics	1	Journal of Manipulative and Physiological Therapeutics	NULL	J. Manip. Physiol. Ther.	NULL	United States	NULL	NULL	Health care sciences, chiropractic, alternative medicine	NULL	Mosby on behalf of the American Chiropractic Association	1978-present			1.647	2012				796193778	NULL	1532-6586	NULL
Global Environmental Politics	1	Global Environmental Politics	NULL	Glob. Environ. Politics	NULL	United States	NULL	NULL	Environmental politics	NULL	MIT Press	2000-present		NULL	2.316	2015			sn99009158	47266514	NULL	1536-0091	NULL
Cancer Informatics	1	Cancer Informatics	NULL	Cancer Inform.	NULL		NULL	NULL	Oncology, computational biology	NULL	SAGE Publications	2005–present	Yes							61659304	NULL		NULL
Jerusalem Studies in Arabic and Islam	1	Jerusalem Studies in Arabic and Islam	NULL		NULL	Israel	NULL	NULL	Arabic, Islam	NULL	Hebrew University of Jerusalem, Institute of Asian & African Studies	1979-present							80646496	5506302	NULL		NULL
North Dakota Quarterly	1	North Dakota Quarterly	NULL		English	United States	NULL	NULL	Literary journal		University of North Dakota	1911-present, with a 30-year break prior to 1956							12001863	01606908	NULL		NULL
Civil Law Commentaries	1	Civil Law Commentaries	NULL	Civ. Law Comment.	NULL	United States	NULL	NULL	Civil law	NULL	Tulane University Law School	2008-present		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Phytopathologia Mediterranea	1	Phytopathologia Mediterranea	NULL		English	Italy	NULL	NULL	plant pathology, including etiology, epidemiology, disease control, biochemical and physiological aspects		Mediterranean Phytopathological Union	1967-present			1.367	2011	PYMDA			645361177	NULL		NULL
Hospitals-Meddelelser	1	Hospitals-Meddelelser	NULL		Danish	Denmark	NULL	NULL	Medicine	NULL	Superintendent of Copenhagen Hospitals	1848–1856								50352611	NULL	NULL	NULL
Aidai	1	Aidai	NULL		Lithuanian	Germany, USA, Lithuania	NULL	NULL	Lithuanian language and culture	NULL		1944–present	Archive online	NULL			NULL	NULL	NULL	NULL	NULL		NULL
The Journal of Pediatrics	1	The Journal of Pediatrics	NULL	J. Pediatr.	NULL		NULL	NULL	Pediatrics	NULL	Elsevier	1932-present			3.890	2015	JOPDAB		sg35000009	01754720	NULL	NULL	NULL
Indian Literature (journal)	1	Indian Literature	NULL	NULL	English	India	NULL	NULL	NULL	NULL	Sahitya Akademi		NULL	NULL	NULL	NULL	NULL			1716981	NULL	NULL	NULL
Science and Technology of Advanced Materials	1	Science and Technology of Advanced Materials	NULL	Sci. Technol. Adv. Mater.	NULL		NULL	NULL	Materials science	NULL	Taylor & Francis (2016–)IOP Publishing (2008–2015)Elsevier (2000–2008)	2000–present	Yes	NULL	3.798	2016	STAMCV	NULL	00200486	44189485	NULL	1878-5514	NULL
The Journal of Ethics	1	The Journal of Ethics	NULL	J. Ethics	NULL		NULL	NULL	Philosophy	NULL	Springer Netherlands	1997-present		NULL							NULL	1572-8609	NULL
Zoologische Verhandelingen	1	Zoologische Verhandelingen	NULL	Zool. Verhandel.		The Netherlands	NULL	NULL	Zoology	NULL	Rijksmuseum van Natuurlijke Historie (Leiden)		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Patma-Banasirakan Handes	1	Patma-Banasirakan Handes	NULL		Armenian, Russian	Armenia	NULL	NULL	Armenian studies	NULL	Armenian National Academy of Sciences	1958–present	NULL	NULL	NULL	NULL	NULL		NULL	470223840	NULL	NULL	NULL
Meteoritics & Planetary Science	1	Meteoritics & Planetary Science	NULL	Meteorit. Planet. Sci.	NULL		NULL	NULL	Planetary science	NULL	Wiley-Blackwell on behalf of the Meteoritical Society	1953-present	Hybrid		2.719	2011			96655038	34046030	NULL	1945-5100	NULL
Rivista di Filologia e di Istruzione Classica	1	Rivista di Filologia e di Istruzione Classica	NULL	Riv. Fil.	NULL	Italy	NULL	NULL	Classics	NULL	Loescher editore	1873-present	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
North Carolina Law Review	1	North Carolina Law Review	NULL	North Carol. Law Rev.	NULL	United States	NULL	NULL	Law	NULL	North Carolina Law Review Association	1922-present	NULL	NULL	NULL	NULL	NULL	NULL	25025666	01760563	NULL	NULL	NULL
Public Archaeology (journal)	1	Public Archaeology	NULL	Publ. Archaeol.	NULL	United Kingdom	NULL	NULL	Archaeology, Cultural heritage management	NULL	Maney Publishing	2000-present							00227110	45034765	NULL	1753-5530	NULL
Willamette Law Review	1	Willamette Law Review	NULL	Willamette L. Rev.	English	United States	NULL	NULL	Law review	NULL	Willamette University College of Law	1959 to present		NULL			NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hesperia (journal)	1	Hesperia	NULL		English	United States	NULL	NULL	Greek archaeology, art, epigraphy, history, and literature	NULL	American School of Classical Studies at Athens	1932 to present		NULL					2001-227375	48531965	NULL	1553-5622	NULL
Shenandoah (magazine)	1	Shenandoah	NULL		English	United States	NULL	NULL	literary magazine		Washington and Lee University	1950 to present									NULL		NULL
Journal of Vision	1	Journal of Vision	NULL	J Vis	English	United States	NULL	NULL	Neuroscience, Psychology, Vision	NULL	Association for Research in Vision and Ophthalmology	2001–present		Free as of 2001	3.376	2011				46764959	NULL		NULL
Journal of Indigenous Studies	1	Journal of Indigenous Studies	NULL		English, French, Cree	Canada	NULL	NULL	Anthropology	NULL	Gabriel Dumont Institute of Native Studies and Applied Research	1989–1997								19758199	NULL		NULL
The Cimarron Review	1	The Cimarron Review	NULL		English	United States	NULL	NULL	Literary journal		Oklahoma State University–Stillwater	1967-present									NULL		NULL
Penn State Law Review	1	Penn State Law Review	NULL	Penn State Law Rev.	English	United States	NULL	NULL	Law review		Penn State University, Dickinson School of Law	1897 to present											NULL
Pain Research & Management	1	Pain Research & Management	NULL	Pain Res. Manag.	English, French	Canada	NULL	NULL	Neurology, psychophysiology	NULL	Hindawi Publishing Corporation	1996-present	Yes	NULL	1.685	2015				36289136	NULL	1918-1523	NULL
American Journal of Cardiology	1	The American Journal of Cardiology	NULL	Am. J. Cardiol.	NULL		NULL	NULL	Cardiology, cardiovascular disease	NULL	Elsevier	1958–present	NULL	NULL	3.154	2015	AJCDAG	NULL	58041185	00850121	NULL	1879-1913	NULL
Abstract and Applied Analysis	1	Abstract and Applied Analysis	NULL	Abstr. Appl. Anal.	NULL		NULL	NULL	Mathematics	NULL	Hindawi Publishing Corporation	1996-present	Yes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1687-0409	NULL
Electronic Journal of Sociology	1	Electronic Journal of Sociology	NULL	Electr. J. Sociol.	NULL		NULL	NULL	Sociology	NULL	NULL	1994–2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL	34297444	NULL	NULL	NULL
Canadian International Council	1	International Journal	NULL		NULL	Canada	NULL	NULL	Interdisciplinary	NULL	Sage	1946–present	NULL	NULL			NULL	00207020			NULL		NULL
